path_sample1,path_sample2,label,distance,loss
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_10.tif',1.0,5.538639545440674,0.21285347640514374
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_11.tif',1.0,37.16916275024414,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_12.tif',1.0,60.28622055053711,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_13.tif',1.0,54.07720947265625,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_14.tif',1.0,23.01256561279297,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_15.tif',1.0,33.52873992919922,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_16.tif',1.0,15.88187313079834,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_17.tif',1.0,14.979913711547852,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_18.tif',1.0,27.224609375,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_19.tif',1.0,34.63445281982422,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_2.tif',1.0,13.517704010009766,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_20.tif',1.0,12.962039947509766,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_21.tif',1.0,18.39604377746582,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_22.tif',1.0,13.171908378601074,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_23.tif',1.0,23.414077758789062,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_24.tif',1.0,27.91721534729004,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_25.tif',1.0,15.372410774230957,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_26.tif',1.0,17.64854621887207,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_27.tif',1.0,20.356565475463867,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_28.tif',1.0,16.92685317993164,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_29.tif',1.0,16.822128295898438,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_3.tif',1.0,29.700538635253906,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_30.tif',1.0,23.29758644104004,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_31.tif',1.0,22.547008514404297,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_32.tif',1.0,9.26431941986084,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_33.tif',1.0,18.59927749633789,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_34.tif',1.0,14.208145141601562,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_35.tif',1.0,17.733369827270508,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_36.tif',1.0,16.503063201904297,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_4.tif',1.0,21.626768112182617,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_5.tif',1.0,10.211873054504395,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_6.tif',1.0,11.591623306274414,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_7.tif',1.0,23.976804733276367,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_8.tif',1.0,14.345955848693848,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_1.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_9.tif',1.0,14.625142097473145,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_10.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_11.tif',1.0,33.45376968383789,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_10.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_12.tif',1.0,56.842140197753906,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_10.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_13.tif',1.0,57.78873825073242,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_10.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_14.tif',1.0,18.91916275024414,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_10.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_15.tif',1.0,28.761568069458008,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_10.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_16.tif',1.0,12.642069816589355,0.0
'./NUS 3D 数据/sample1_standard\\70um 1um step_10.tif','./NUS 3D 数据/sample1_standard\\70um 1um step_17.tif',1.0,14.396778106689453,0.0
